ÀàÄ¿±àÂë,id
I84.1,1849
I84.2,1850
I84.3,1851
I84.4,1852
I84.5,1853
I84.7,1854
I84.8,1855
I84.9,1856
I85,1857
I85.0,1858
I85.9,1859
I86,1860
I86.1,1861
I86.2,1862
I86.4,1863
I86.8,1864
I87,1865
I87.1,1866
I87.2,1867
I87.8,1868
I87.9,1869
I88,1870
I88.0,1871
I88.1,1872
I88.8,1873
I88.9,1874
I89,1875
I89.0,1876
I89.1,1877
I89.8,1878
I95.0,1879
I95.1,1880
I95.2,1881
I95.8,1882
I95.9,1883
I97.1,1884
I97.8,1885
I97.9,1886
I99,1887
J00,1888
J01.0,1889
J01.1,1890
J01.8,1891
J01.9,1892
J02,1893
J02.8,1894
J02.9,1895
J03,1896
J03.0,1897
J03.9,1898
J04,1899
J04.0,1900
J04.1,1901
J04.2,1902
J05.1,1903
J06,1904
J06.0,1905
J06.8,1906
J06.9,1907
J09,1908
J10.1,1909
J10.8,1910
J11,1911
J11.0,1912
J11.1,1913
J11.8,1914
J12.1,1915
J12.8,1916
J12.9,1917
J13,1918
J15,1919
J15.0,1920
J15.2,1921
J15.4,1922
J15.7,1923
J15.8,1924
J15.9,1925
J16.0,1926
J17,1927
J17.2,1928
J18,1929
J18.0,1930
J18.1,1931
J18.2,1932
J18.8,1933
J18.9,1934
J20,1935
J20.3,1936
J20.6,1937
J20.7,1938
